model,scale,confidence,U_safe,note,U_tested_max,margin_needed_at_U_tested_max
model3_sib_cfs_round2,soft,p99,0.5848,interpolated crossing,0.94,0.912
model3_sib_cfs_round2,soft,p999,0.5826,interpolated crossing,0.94,0.93
model3_sib_cfs_round2,tight,p99,0.1,breaks even at lowest tested U,0.9,0.715
model3_sib_cfs_round2,tight,p999,0.1,breaks even at lowest tested U,0.9,0.838
