model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3_sib_cfs_round2,soft,0.1,5000,2,0.0004,2915.9,1511.0,1,0.8089,1.0511,0.0014,0.5165
model3_sib_cfs_round2,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7191,0.7454,0.0016,0.011
model3_sib_cfs_round2,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7158,0.76,0.0017,0.0185
model3_sib_cfs_round2,soft,0.4,5000,1,0.0002,15574.2,15574.2,1,0.7382,1.0197,0.0021,0.6232
model3_sib_cfs_round2,soft,0.5,5000,0,0.0,0.0,0.0,0,0.7216,0.7578,0.0025,0.0244
model3_sib_cfs_round2,soft,0.6,5000,5000,1.0,16063.0,7415.7,5000,1.1972,1.2699,0.497,0.576
model3_sib_cfs_round2,soft,0.7,5000,0,0.0,0.0,0.0,0,0.7014,0.7479,0.0037,0.1263
model3_sib_cfs_round2,soft,0.8,5000,1,0.0002,3793.8,3793.8,1,0.831,1.0583,0.0013,0.4783
model3_sib_cfs_round2,soft,0.9,5000,3940,0.788,54358.8,15026.6,45,1.5319,1.6057,0.5027,0.9792
model3_sib_cfs_round2,soft,0.94,5000,0,0.0,0.0,0.0,0,0.9697,0.9932,0.0044,0.5893
model3_sib_cfs_round2,tight,0.1,5000,4998,0.9996,7322.3,335.4,3010,1.4777,1.8798,0.499,0.8961
model3_sib_cfs_round2,tight,0.2,5000,342,0.0684,8744.3,101.5,2,0.9935,1.8251,0.5149,0.9937
model3_sib_cfs_round2,tight,0.3,5000,2040,0.408,9644.2,67.5,4,1.0682,1.3316,0.5155,1.1463
model3_sib_cfs_round2,tight,0.4,5000,4,0.0008,4130.6,1223.7,1,0.7329,1.2474,0.0034,0.763
model3_sib_cfs_round2,tight,0.5,5000,1440,0.288,12198.3,75.7,3,1.0361,1.3592,0.5261,1.7276
model3_sib_cfs_round2,tight,0.6,5000,1,0.0002,5341.1,5341.1,1,0.7813,1.0884,0.0062,1.1014
model3_sib_cfs_round2,tight,0.7,5000,4999,0.9998,10898.3,85.7,3588,1.2837,1.3882,0.4592,1.9882
model3_sib_cfs_round2,tight,0.8,5000,4918,0.9836,37539.3,55.5,217,1.064,1.2571,0.5368,9.8308
model3_sib_cfs_round2,tight,0.9,5000,2,0.0004,3790.1,1931.1,1,0.7907,0.9948,0.0214,2.4186
