#WCET = 40000
#Period = 200000
#Nice = 0
#Iterations = 25
#Scheduler: CFS (SCHED_OTHER)
#CPU Speed: 1
#PID: 9
#Cycles: 1031506
#Start: 118104069965
0 0	118104105585	35620	35532	-0.821900
0 1	118104320827	50862	35500	-0.745690
0 2	118104503696	33731	33641	-0.831345
0 3	118104703588	33623	33547	-0.831885
0 4	118104904822	34857	34758	-0.825715
0 5	118105103535	33570	33447	-0.832150
0 6	118105302888	32923	32782	-0.835385
0 7	118105504266	34301	34146	-0.828495
0 8	118105704719	34754	34630	-0.826230
0 9	118105904987	35022	34875	-0.824890
0 10	118106104919	34954	34805	-0.825230
0 11	118106304414	34449	34294	-0.827755
0 12	118106504958	34993	34837	-0.825035
0 13	118106713762	43797	43693	-0.781015
0 14	118106909086	39121	39024	-0.804395
0 15	118107106111	36146	36046	-0.819270
0 16	118107305081	35116	34908	-0.824420
0 17	118107504898	34933	34783	-0.825335
0 18	118107713341	43376	43257	-0.783120
0 19	118107907495	37530	37425	-0.812350
0 20	118108106547	36582	36477	-0.817090
0 21	118108309154	39189	39029	-0.804055
0 22	118108507393	37428	37311	-0.812860
0 23	118108707899	37934	37781	-0.810330
0 24	118108908788	38823	38679	-0.805885
