i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
1394,21544200000000,21544200030830,21544202032231,2032.231,2000.496,0
1395,21544210000000,21544210057503,21544212058513,2058.513,2000.312,0
1396,21544220000000,21544220060704,21544222061978,2061.978,2000.392,0
1397,21544230000000,21544230061056,21544232062066,2062.066,2000.288,0
1398,21544240000000,21544240019136,21544242021194,2021.194,2000.368,0
1399,21544250000000,21544250038865,21544252044331,2044.331,2000.408,0
1400,21544260000000,21544260059787,21544262060844,2060.844,2000.384,0
1401,21544270000000,21544270060899,21544272062301,2062.301,2000.384,0
1402,21544280000000,21544280058924,21544282060349,2060.349,2000.400,0
1403,21544290000000,21544290063172,21544292064366,2064.366,2000.288,0
1404,21544300000000,21544300032156,21544302033246,2033.246,2000.392,0
1405,21544310000000,21544310013212,21544312184122,2184.122,2000.480,0
1406,21544320000000,21544320013781,21544322015327,2015.327,2000.352,0
1407,21544330000000,21544330060391,21544332075705,2075.705,2000.296,0
1408,21544340000000,21544340010718,21544342011976,2011.976,2000.544,0
1409,21544350000000,21544350016919,21544352018561,2018.561,2000.400,0
1410,21544360000000,21544360058769,21544362059811,2059.811,2000.288,0
1411,21544370000000,21544370060417,21544372061515,2061.515,2000.304,0
1412,21544380000000,21544380058874,21544382059884,2059.884,2000.288,0
1413,21544390000000,21544390060883,21544392062340,2062.340,2000.736,0
1414,21544400000000,21544400019050,21544402020772,2020.772,2000.520,0
1415,21544410000000,21544410058099,21544412123167,2123.167,2000.312,0
1416,21544420000000,21544420059972,21544422061462,2061.462,2000.472,0
1417,21544430000000,21544430062597,21544432063847,2063.847,2000.416,0
1418,21544440000000,21544440021093,21544442022662,2022.662,2000.288,0
1419,21544450000000,21544450030437,21544452031719,2031.719,2000.416,0
1420,21544460000000,21544460059375,21544462060729,2060.729,2000.328,0
1421,21544470000000,21544470059735,21544472060945,2060.945,2000.448,0
1422,21544480000000,21544480058840,21544482059994,2059.994,2000.296,0
1423,21544490000000,21544490058921,21544492060211,2060.211,2000.488,0
1424,21544500000000,21544500083946,21544502085579,2085.579,2000.640,0
1425,21544510000000,21544510060386,21544512062204,2062.204,2000.432,0
1426,21544520000000,21544520016801,21544522017931,2017.931,2000.352,0
1427,21544530000000,21544530075755,21544532274634,2274.634,2000.336,0
1428,21544540000000,21544540058108,21544542059134,2059.134,2000.280,0
1429,21544550000000,21544550040508,21544552042222,2042.222,2000.488,0
1430,21544560000000,21544560060061,21544562061575,2061.575,2000.504,0
1431,21544570000000,21544570066182,21544572098312,2098.312,2000.352,0
