cell,N,p50_us,p99_us,p99_9_us,max_us,misses
U0.1,5110,11751,15939,19355,99988,0
U0.2,5044,22043,34998,43226,347734,4
U0.4,5044,42303,49559,54901,100003,0
U0.6,5077,52660,76930,77723,99991,0
U0.8,5110,85611,109796,125270,141840,131
U0.9,102127,1783153032,2849331776,2852871419,2853392053,100584
U0.94,5077,75468,86063,91273,99998,0
