model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w2_sib_res_round3,soft,0.1,5000,5000,1.0,105629.9,5440.1,5000,1.7634,2.5354,0.5162,1.0458
model3-w2_sib_res_round3,soft,0.2,5000,5000,1.0,101655.2,8223.8,5000,1.5967,2.1213,0.5207,1.0004
model3-w2_sib_res_round3,soft,0.3,5000,5000,1.0,100599.1,9413.3,5000,1.5087,2.0314,0.5237,0.9975
model3-w2_sib_res_round3,soft,0.4,5000,5000,1.0,130955.7,18587.5,5000,1.6063,2.7772,0.5232,1.0041
model3-w2_sib_res_round3,soft,0.5,5000,5000,1.0,104001.1,22203.9,5000,1.5986,2.0813,0.5268,0.9994
model3-w2_sib_res_round3,soft,0.6,5000,5000,1.0,121495.9,25781.4,5000,1.5758,2.3577,0.5364,1.0004
model3-w2_sib_res_round3,soft,0.7,5000,5000,1.0,105615.2,24288.7,5000,1.4722,2.0793,0.549,1.0011
model3-w2_sib_res_round3,soft,0.8,5000,5000,1.0,58328.8,29807.1,5000,1.5002,1.7287,0.5749,0.7244
model3-w2_sib_res_round3,soft,0.9,5000,5000,1.0,84988.9,35527.5,5000,1.6145,1.9436,0.6494,0.9059
model3-w2_sib_res_round3,soft,0.94,5000,5000,1.0,113082.8,33808.2,5000,1.5045,1.7947,0.7611,5.7593
model3-w2_sib_res_round3,tight,0.1,5000,1,0.0002,422.6,422.6,1,0.7729,1.5351,0.0015,0.4938
model3-w2_sib_res_round3,tight,0.2,5000,2,0.0004,11787.0,5905.9,1,0.7458,1.3071,0.0016,1.1983
model3-w2_sib_res_round3,tight,0.3,5000,4380,0.876,7671.4,121.2,3070,1.2086,1.3498,0.466,0.973
model3-w2_sib_res_round3,tight,0.4,5000,1,0.0002,2893.3,2893.3,1,0.7479,1.4241,0.002,0.5997
model3-w2_sib_res_round3,tight,0.5,5000,5000,1.0,5509.4,329.3,5000,1.1832,1.4819,0.459,0.9344
model3-w2_sib_res_round3,tight,0.6,5000,1,0.0002,2326.6,2326.6,1,0.7132,1.0927,0.0029,0.7213
model3-w2_sib_res_round3,tight,0.7,5000,5000,1.0,6781.3,23.3,5000,1.0769,1.1072,0.4417,1.5456
model3-w2_sib_res_round3,tight,0.8,5000,5000,1.0,7478.5,25.3,5000,1.036,1.1344,0.4719,2.2903
model3-w2_sib_res_round3,tight,0.9,5000,2,0.0004,18648.6,9610.5,1,0.8589,1.0983,0.0116,10.2682
model3-w2_sib_res_round3,tight,0.94,5000,5,0.001,19.6,16.7,1,0.9873,1.0232,0.0205,0.5106
