model,scale,confidence,U_safe,note,U_tested_max,margin_needed_at_U_tested_max
model3-w3_phys_cfs_round2,soft,p99,0.94,safe across full tested range,0.94,0.671
model3-w3_phys_cfs_round2,soft,p999,0.94,safe across full tested range,0.94,0.676
model3-w3_phys_cfs_round2,tight,p99,0.94,safe across full tested range,0.94,0.692
model3-w3_phys_cfs_round2,tight,p999,0.94,safe across full tested range,0.94,0.699
