model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w2_sib_res_round2,soft,0.1,5000,5000,1.0,7911.7,2721.8,5000,1.5301,1.7146,0.5036,0.5279
model3-w2_sib_res_round2,soft,0.2,5000,5000,1.0,18343.9,5277.5,5000,1.474,1.9622,0.5047,0.5299
model3-w2_sib_res_round2,soft,0.3,5000,5000,1.0,18595.6,8510.1,5000,1.4422,1.6405,0.5082,0.5358
model3-w2_sib_res_round2,soft,0.4,5000,5000,1.0,21447.2,10841.4,5000,1.3852,1.5415,0.5045,0.5379
model3-w2_sib_res_round2,soft,0.5,5000,5000,1.0,42849.2,22529.7,5000,1.6319,1.8593,0.5051,0.5856
model3-w2_sib_res_round2,soft,0.6,5000,5000,1.0,102676.1,37700.9,5000,1.8332,2.0509,0.4989,0.9955
model3-w2_sib_res_round2,soft,0.7,5000,5000,1.0,63563.2,39823.8,5000,1.8125,1.8952,0.5015,0.5911
model3-w2_sib_res_round2,soft,0.8,5000,5000,1.0,45807.8,31163.8,5000,1.4965,1.5764,0.5071,0.6065
model3-w2_sib_res_round2,soft,0.9,5000,5000,1.0,68544.9,50956.3,5000,1.717,1.7691,0.5012,0.8395
model3-w2_sib_res_round2,soft,0.94,5000,5000,1.0,69911.4,49380.6,5000,1.6729,1.7519,0.4728,0.9221
