model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3_smoke,tight,0.1,5000,77,0.0154,30012.0,795.4,23,1.1623,4.1153,0.4818,1.9943
model3_smoke,tight,0.2,5000,30,0.006,2880.0,123.6,24,0.8117,1.4624,0.0012,0.6285
model3_smoke,tight,0.3,5000,59,0.0118,5548.2,631.9,35,1.014,1.4255,0.4886,0.8051
model3_smoke,tight,0.4,5000,28,0.0056,11942.9,1620.4,19,0.8634,1.4122,0.0067,1.4247
model3_smoke,tight,0.5,5000,31,0.0062,3212.1,1129.6,26,0.7431,1.4125,0.0113,0.7663
model3_smoke,tight,0.6,5000,2614,0.5228,6905.2,47.5,36,1.0504,1.368,0.5046,1.3127
model3_smoke,tight,0.7,5000,1,0.0002,24007.3,24007.3,1,0.74,0.8579,0.005,4.8279
