model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w3_phys_cfs_round1,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7071,0.8027,0.0012,0.0583
model3-w3_phys_cfs_round1,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7018,0.7199,0.0014,0.0465
model3-w3_phys_cfs_round1,soft,0.3,5000,0,0.0,0.0,0.0,0,0.704,0.7202,0.0016,0.0125
model3-w3_phys_cfs_round1,soft,0.4,5000,0,0.0,0.0,0.0,0,0.6906,0.7286,0.0018,0.032
model3-w3_phys_cfs_round1,soft,0.5,5000,0,0.0,0.0,0.0,0,0.7063,0.7195,0.0022,0.136
model3-w3_phys_cfs_round1,soft,0.6,5000,0,0.0,0.0,0.0,0,0.702,0.7312,0.0021,0.0076
model3-w3_phys_cfs_round1,soft,0.7,5000,0,0.0,0.0,0.0,0,0.6878,0.7115,0.0005,0.1088
model3-w3_phys_cfs_round1,soft,0.8,5000,0,0.0,0.0,0.0,0,0.6834,0.7005,0.0054,0.007
model3-w3_phys_cfs_round1,soft,0.9,5000,0,0.0,0.0,0.0,0,0.7022,0.7229,0.0013,0.2868
model3-w3_phys_cfs_round1,soft,0.94,5000,0,0.0,0.0,0.0,0,0.6908,0.7364,0.0024,0.5027
model3-w3_phys_cfs_round1,tight,0.1,5000,1,0.0002,22.4,22.4,1,0.7238,1.1107,0.0013,0.4951
model3-w3_phys_cfs_round1,tight,0.2,5000,0,0.0,0.0,0.0,0,0.7061,0.739,0.0013,0.0573
model3-w3_phys_cfs_round1,tight,0.3,5000,0,0.0,0.0,0.0,0,0.7015,0.8091,0.0018,0.1238
model3-w3_phys_cfs_round1,tight,0.4,5000,0,0.0,0.0,0.0,0,0.7078,0.807,0.0018,0.5474
model3-w3_phys_cfs_round1,tight,0.5,5000,0,0.0,0.0,0.0,0,0.719,0.7369,0.0023,0.4851
model3-w3_phys_cfs_round1,tight,0.6,5000,1,0.0002,16740.1,16740.1,1,0.6806,0.7102,0.0027,2.8286
model3-w3_phys_cfs_round1,tight,0.7,5000,1,0.0002,3877.5,3877.5,1,0.705,0.7501,0.0036,1.5023
model3-w3_phys_cfs_round1,tight,0.8,5000,1,0.0002,8063.3,8063.3,1,0.7101,0.7517,0.0053,3.0981
model3-w3_phys_cfs_round1,tight,0.9,5000,2,0.0004,10168.4,8099.0,1,0.7027,0.7405,0.0109,6.9488
model3-w3_phys_cfs_round1,tight,0.94,5000,0,0.0,0.0,0.0,0,0.7026,0.8639,0.018,0.0714
