model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model2_round1,soft,0.1,5000,1955,0.391,1029.8,304.6,11,1.0497,1.0762,0.5022,0.5028
model2_round1,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7272,0.7903,0.0015,0.0611
model2_round1,soft,0.3,5000,5000,1.0,10984.1,3007.5,5000,1.1226,1.2369,0.4999,0.5316
model2_round1,soft,0.4,5000,0,0.0,0.0,0.0,0,0.7125,0.7677,0.0019,0.0233
model2_round1,soft,0.5,5000,0,0.0,0.0,0.0,0,0.9368,0.9623,0.0005,0.0758
model2_round1,tight,0.1,5000,1,0.0002,7603.5,7603.5,1,0.7552,1.4666,0.0013,0.8965
model2_round1,tight,0.2,5000,2,0.0004,3966.6,2048.3,1,0.8116,1.3341,0.0016,0.7062
model2_round1,tight,0.3,5000,1,0.0002,4187.5,4187.5,1,0.7521,1.3541,0.0017,0.7232
model2_round1,tight,0.4,5000,4986,0.9972,4199.9,51.0,1620,1.0501,1.3616,0.5005,0.7295
model2_round1,tight,0.5,5000,1,0.0002,1988.4,1988.4,1,0.7682,1.2519,0.0023,0.5729
