model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w2_sib_res_round4,soft,0.1,5000,5000,1.0,100114.3,3616.1,5000,1.5771,2.0632,0.518,0.9971
model3-w2_sib_res_round4,soft,0.2,5000,5000,1.0,126794.7,104418.6,5000,2.4531,2.8375,1.0157,1.1293
model3-w2_sib_res_round4,soft,0.3,5000,5000,1.0,118108.4,31281.7,5000,2.2207,2.6192,0.9995,1.043
model3-w2_sib_res_round4,soft,0.4,5000,5000,1.0,114090.6,20584.8,5000,1.7357,2.3596,0.5235,0.9975
model3-w2_sib_res_round4,soft,0.5,5000,5000,1.0,43902.8,21699.4,5000,1.587,1.8767,0.5246,0.5664
model3-w2_sib_res_round4,soft,0.6,5000,5000,1.0,107221.9,42033.1,5000,1.9489,2.1135,0.5407,1.0051
model3-w2_sib_res_round4,soft,0.7,5000,5000,1.0,54925.2,26668.5,5000,1.5217,1.7867,0.5475,0.6128
model3-w2_sib_res_round4,soft,0.8,5000,5000,1.0,67309.0,45668.6,5000,1.7378,1.8485,0.5652,0.7334
model3-w2_sib_res_round4,soft,0.9,5000,5000,1.0,66085.1,46923.9,5000,1.6174,1.742,0.6512,0.907
model3-w2_sib_res_round4,soft,0.94,5000,5000,1.0,72232.2,48117.3,5000,1.6671,1.7763,0.7447,1.3157
model3-w2_sib_res_round4,tight,0.1,5000,4998,0.9996,40041.5,434.7,2408,2.0913,5.7126,0.9971,2.7025
model3-w2_sib_res_round4,tight,0.2,5000,5000,1.0,20482.0,1386.4,5000,2.2921,3.3474,1.0057,1.5827
model3-w2_sib_res_round4,tight,0.3,5000,4999,0.9998,16810.9,1350.4,4866,2.1745,2.9542,1.0161,1.4244
model3-w2_sib_res_round4,tight,0.4,5000,4998,0.9996,18996.0,2269.3,2115,2.2858,2.8327,1.0331,1.653
model3-w2_sib_res_round4,tight,0.5,5000,5000,1.0,16456.5,2948.8,5000,2.0283,2.8432,1.0455,1.5177
model3-w2_sib_res_round4,tight,0.6,5000,5000,1.0,16797.6,2539.3,5000,1.7804,2.2629,0.8806,1.8439
model3-w2_sib_res_round4,tight,0.7,5000,5000,1.0,16185.4,2820.5,5000,1.7416,2.4367,0.9947,2.0093
model3-w2_sib_res_round4,tight,0.8,5000,5000,1.0,15350.1,2781.0,5000,1.7341,2.1702,1.1703,2.832
model3-w2_sib_res_round4,tight,0.9,5000,5000,1.0,14405.0,3394.4,5000,1.6337,2.1147,2.2215,5.2418
model3-w2_sib_res_round4,tight,0.94,5000,5000,1.0,40514.4,4365.5,5000,1.8333,5.0936,3.127,5.6793
