model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w2_sib_res_round1,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7325,0.8605,0.0014,0.0589
model3-w2_sib_res_round1,soft,0.2,5000,3,0.0006,2653.1,1783.8,1,0.8216,1.1483,0.0004,0.4981
model3-w2_sib_res_round1,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7113,0.7668,0.0017,0.0022
model3-w2_sib_res_round1,soft,0.4,5000,1,0.0002,86.1,86.1,1,0.9024,1.0252,0.0005,0.4923
model3-w2_sib_res_round1,soft,0.5,5000,0,0.0,0.0,0.0,0,0.7221,0.8043,0.0023,0.0039
model3-w2_sib_res_round1,soft,0.6,5000,0,0.0,0.0,0.0,0,0.8726,0.8991,0.0022,0.0552
model3-w2_sib_res_round1,soft,0.7,5000,0,0.0,0.0,0.0,0,0.9689,0.9733,0.0006,0.004
model3-w2_sib_res_round1,soft,0.8,5000,0,0.0,0.0,0.0,0,0.9272,0.9502,0.0008,0.0761
model3-w2_sib_res_round1,soft,0.9,5000,0,0.0,0.0,0.0,0,0.9197,0.9367,0.0016,0.3884
model3-w2_sib_res_round1,soft,0.94,5000,0,0.0,0.0,0.0,0,0.899,0.9232,0.0026,0.0075
model3-w2_sib_res_round1,tight,0.1,5000,1,0.0002,2268.3,2268.3,1,0.7415,1.3522,0.0014,0.6064
model3-w2_sib_res_round1,tight,0.2,5000,3928,0.7856,6987.3,66.9,3667,1.6353,1.6832,0.4627,0.9055
model3-w2_sib_res_round1,tight,0.3,5000,5000,1.0,4981.9,21.3,5000,1.214,1.3097,0.4702,0.8173
