model,scale,confidence,U_safe,note,U_tested_max,margin_needed_at_U_tested_max
model3-w2_sib_res_round1,soft,p99,0.94,safe across full tested range,0.94,0.845
model3-w2_sib_res_round1,soft,p999,0.94,safe across full tested range,0.94,0.849
model3-w2_sib_res_round1,tight,p99,0.1947,interpolated crossing,0.3,1.003
model3-w2_sib_res_round1,tight,p999,0.1942,interpolated crossing,0.3,1.014
