#Fixed C = 20000
#T = 300000
#CPU Speed: 1
#PID: 10
#Cycles: 983805
#Start: 115530327028
0 0	115530346709	19681	19634	-0.934397
0 1	115530646375	19347	19314	-0.935510
0 2	115530946237	19209	19156	-0.935970
0 3	115531247871	20843	20799	-0.930523
0 4	115531546539	19511	19474	-0.934963
0 5	115531846082	19054	18979	-0.936487
0 6	115532143381	16353	16284	-0.945490
0 7	115532443072	16044	15965	-0.946520
0 8	115532743398	16370	16264	-0.945433
0 9	115533042899	15871	15784	-0.947097
0 10	115533344506	17478	17379	-0.941740
0 11	115533644696	17668	17602	-0.941107
0 12	115533944571	17543	17483	-0.941523
0 13	115534244541	17513	17414	-0.941623
0 14	115534545468	18440	18375	-0.938533
0 15	115534845207	18179	18110	-0.939403
0 16	115535144523	17495	17375	-0.941683
0 17	115535445172	18144	18044	-0.939520
0 18	115535745251	18223	18140	-0.939257
0 19	115536045443	18415	18210	-0.938617
0 20	115536344831	17803	17707	-0.940657
0 21	115536645391	18363	18271	-0.938790
0 22	115536945499	18471	18245	-0.938430
0 23	115537245970	18942	18714	-0.936860
0 24	115537545419	18391	18172	-0.938697
0 25	115537845403	18375	18169	-0.938750
0 26	115538145412	18384	18179	-0.938720
0 27	115538445496	18468	18358	-0.938440
0 28	115538745642	18614	18406	-0.937953
0 29	115539045291	18263	18175	-0.939123
