#WCET = 50000
#Period = 100000
#Nice = -10
#Iterations = 50
#Scheduler: CFS (SCHED_OTHER)
#CPU Speed: 1
#PID: 8
#Cycles: 1065642
#Start: 118104068646
0 0	118104113642	44996	44868	-0.550040
0 1	118104222329	53683	48718	-0.463170
0 2	118104324746	56100	50711	-0.439000
0 3	118104417015	48369	48260	-0.516310
0 4	118104513034	44388	44237	-0.556120
0 5	118104614756	46110	46008	-0.538900
0 6	118104713293	44647	44503	-0.553530
0 7	118104814018	45372	45211	-0.546280
0 8	118104913116	44470	44313	-0.555300
0 9	118105012882	44236	43909	-0.557640
0 10	118105112303	43657	43476	-0.563430
0 11	118105212736	44090	43863	-0.559100
0 12	118105311368	42722	42571	-0.572780
0 13	118105412466	43820	43670	-0.561800
0 14	118105512887	44241	43929	-0.557590
0 15	118105612107	43461	43296	-0.565390
0 16	118105713624	44978	44522	-0.550220
0 17	118105814173	45527	45379	-0.544730
0 18	118105913019	44373	44205	-0.556270
0 19	118106014075	45429	45262	-0.545710
0 20	118106114390	45744	45445	-0.542560
0 21	118106213921	45275	45111	-0.547250
0 22	118106312974	44328	44036	-0.556720
0 23	118106412711	44065	43615	-0.559350
0 24	118106514163	45517	45221	-0.544830
0 25	118106615667	47021	46849	-0.529790
0 26	118106717311	48665	48560	-0.513350
0 27	118106816087	47441	47223	-0.525590
0 28	118106914956	46310	46168	-0.536900
0 29	118107018591	49945	49650	-0.500550
0 30	118107114907	46261	46054	-0.537390
0 31	118107214496	45850	45701	-0.541500
0 32	118107313293	44647	44463	-0.553530
0 33	118107413552	44906	44436	-0.550940
0 34	118107514152	45506	45327	-0.544940
0 35	118107616714	48068	47656	-0.519320
0 36	118107720128	51482	51305	-0.485180
0 37	118107817720	49074	47777	-0.509260
0 38	118107917278	48632	46881	-0.513680
0 39	118108019419	50773	48814	-0.492270
0 40	118108116902	48256	46523	-0.517440
0 41	118108215858	47212	45627	-0.527880
0 42	118108313692	45046	44576	-0.549540
0 43	118108413909	45263	45092	-0.547370
0 44	118108518346	49700	47852	-0.503000
0 45	118108616852	48206	46446	-0.517940
0 46	118108717596	48950	47102	-0.510500
0 47	118108815448	46802	45040	-0.531980
0 48	118108918536	49890	48057	-0.501100
0 49	118109019661	51015	49046	-0.489850
