scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,n_ge_2x,p99_ratio,median,p99,p99_9,max,n_ge_2x,p99_ratio
workload,label,U,,,,,,,,,,,,
multi-core on physical cores,rcu_nocbs removed,0.7,0.524,0.638,0.772,1.588,0.0,1.199,0.496,0.7,0.903,1.194,0.0,1.354
multi-core on physical cores,rcu_nocbs removed,0.94,0.713,0.843,0.998,2.886,3.0,1.177,0.665,0.901,1.198,2.406,1.0,1.229
multi-core on physical cores,systemd containment removed,0.1,0.063,0.075,0.092,0.133,0.0,1.133,0.07,0.08,0.122,0.467,0.0,0.991
multi-core on physical cores,systemd containment removed,0.5,0.352,0.372,0.41,0.472,0.0,0.979,0.351,0.391,0.553,0.652,0.0,0.903
multi-core on physical cores,systemd containment removed,0.7,0.5,0.54,0.666,0.691,0.0,1.014,0.488,0.602,0.774,1.038,0.0,1.165
multi-core on physical cores,systemd containment removed,0.94,0.665,0.711,0.823,0.94,0.0,0.993,0.653,0.771,1.022,1.091,0.0,1.053
multi-core on physical cores,IRQ steering removed,0.1,0.063,0.076,0.098,0.152,0.0,1.156,0.07,0.083,0.117,0.4,0.0,1.02
multi-core on physical cores,IRQ steering removed,0.5,0.355,0.378,0.453,0.503,0.0,0.996,0.349,0.461,0.593,0.882,0.0,1.065
multi-core on physical cores,IRQ steering removed,0.7,0.5,0.537,0.643,1.142,0.0,1.009,0.477,0.514,0.725,0.892,0.0,0.993
multi-core on physical cores,IRQ steering removed,0.94,0.667,0.71,1.429,1.518,0.0,0.992,0.655,0.767,1.061,5.115,1.0,1.047
multi-core on physical cores,boot-params bundle removed,0.1,0.061,0.066,0.082,0.089,0.0,1.01,0.07,0.078,0.109,0.117,0.0,0.967
multi-core on physical cores,boot-params bundle removed,0.5,0.35,0.363,0.441,0.475,0.0,0.956,0.349,0.387,0.529,0.604,0.0,0.894
multi-core on physical cores,boot-params bundle removed,0.7,0.48,0.528,0.581,0.648,0.0,0.991,0.489,0.538,0.763,0.847,0.0,1.04
multi-core on physical cores,boot-params bundle removed,0.94,0.649,0.681,0.756,0.868,0.0,0.95,0.649,0.694,0.99,1.089,0.0,0.947
multi-core on physical cores,frequency pinning removed,0.1,0.062,0.079,0.101,0.124,0.0,1.206,0.07,0.087,0.131,0.376,0.0,1.069
multi-core on physical cores,frequency pinning removed,0.5,0.353,0.392,0.456,0.486,0.0,1.031,0.357,0.478,0.599,0.86,0.0,1.104
multi-core on physical cores,frequency pinning removed,0.7,0.504,0.599,0.654,0.719,0.0,1.124,0.502,0.624,0.789,1.006,0.0,1.206
multi-core on physical cores,frequency pinning removed,0.94,0.668,0.712,0.794,0.854,0.0,0.994,0.676,0.835,1.071,1.169,0.0,1.14
multi-core on physical cores,SMT enabled (multi-core),0.1,0.072,0.086,0.109,0.144,0.0,1.312,0.08,0.129,0.137,0.403,0.0,1.584
multi-core on physical cores,SMT enabled (multi-core),0.5,0.5,0.725,0.739,0.756,0.0,1.909,0.577,0.678,0.762,0.897,0.0,1.566
multi-core on physical cores,SMT enabled (multi-core),0.7,0.593,0.806,0.82,0.895,0.0,1.512,0.656,0.855,0.991,1.009,0.0,1.654
multi-core on physical cores,SMT enabled (multi-core),0.94,1.021,1.174,1.2,1.388,0.0,1.639,1.035,1.264,1.33,1.567,0.0,1.726
