scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,p99_ratio,median,p99,p99_9,max,p99_ratio
workload,label,U,,,,,,,,,,
multi-core on physical cores,IRQ steering removed,0.1,6.419,7.897,10.815,18.407,1.179,0.748,1.814,10.046,19.868,1.881
multi-core on physical cores,IRQ steering removed,0.5,35.642,38.157,45.396,60.952,0.998,3.543,4.991,6.543,12.301,1.116
multi-core on physical cores,IRQ steering removed,0.7,50.082,54.005,64.538,114.396,1.012,4.822,5.368,8.474,15.339,1.026
multi-core on physical cores,IRQ steering removed,0.94,66.784,71.131,143.072,152.038,0.989,6.585,7.789,10.775,51.211,1.054
multi-core on physical cores,boot-params bundle removed,0.1,6.254,6.737,8.493,1439.453,1.005,0.744,0.847,1.233,12.408,0.879
multi-core on physical cores,boot-params bundle removed,0.5,35.135,36.536,44.524,62.176,0.955,3.528,3.938,7.639,37.18,0.88
multi-core on physical cores,boot-params bundle removed,0.7,48.025,52.925,58.153,70.627,0.992,4.932,5.426,10.453,15.18,1.037
multi-core on physical cores,boot-params bundle removed,0.94,64.96,68.192,76.105,96.934,0.949,6.524,6.983,10.381,11.375,0.945
multi-core on physical cores,frequency pinning removed,0.1,6.354,8.174,13.219,1295.613,1.22,0.753,4.895,9.364,11.902,5.076
multi-core on physical cores,frequency pinning removed,0.5,35.418,39.413,46.386,1129.861,1.031,3.621,4.94,9.201,12.439,1.104
multi-core on physical cores,frequency pinning removed,0.7,50.509,60.042,65.572,1843.786,1.125,5.072,6.35,9.074,14.983,1.214
multi-core on physical cores,frequency pinning removed,0.94,66.84,71.336,79.516,85.492,0.992,6.809,8.407,10.87,11.862,1.137
