scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,n_ge_2x,p99_ratio,median,p99,p99_9,max,n_ge_2x,p99_ratio
workload,label,U,,,,,,,,,,,,
multi-core on physical cores,rcu_nocbs removed,0.7,0.526,0.641,0.842,2.186,1.0,1.201,0.503,0.801,1.134,2.023,1.0,1.532
multi-core on physical cores,rcu_nocbs removed,0.94,0.714,0.844,1.041,3.059,3.0,1.174,0.672,0.94,1.24,2.442,1.0,1.272
multi-core on physical cores,systemd containment removed,0.1,0.064,0.076,0.101,0.899,0.0,1.14,0.074,0.878,0.977,1.923,0.0,9.102
multi-core on physical cores,systemd containment removed,0.5,0.354,0.374,0.471,23.753,1.0,0.979,0.356,0.417,0.603,5.968,1.0,0.931
multi-core on physical cores,systemd containment removed,0.7,0.501,0.542,0.669,1.367,0.0,1.016,0.493,0.615,0.789,12.424,1.0,1.176
multi-core on physical cores,systemd containment removed,0.94,0.666,0.712,0.825,1.001,0.0,0.991,0.658,0.78,1.043,1.285,0.0,1.056
multi-core on physical cores,IRQ steering removed,0.1,0.064,0.079,0.108,0.184,0.0,1.179,0.075,0.181,1.005,1.987,0.0,1.881
multi-core on physical cores,IRQ steering removed,0.5,0.356,0.382,0.454,0.61,0.0,0.998,0.354,0.499,0.654,1.23,0.0,1.116
multi-core on physical cores,IRQ steering removed,0.7,0.501,0.54,0.645,1.144,0.0,1.012,0.482,0.537,0.847,1.534,0.0,1.026
multi-core on physical cores,IRQ steering removed,0.94,0.668,0.711,1.431,1.52,0.0,0.989,0.659,0.779,1.077,5.121,2.0,1.054
multi-core on physical cores,boot-params bundle removed,0.1,0.063,0.067,0.085,14.395,1.0,1.005,0.074,0.085,0.123,1.241,0.0,0.879
multi-core on physical cores,boot-params bundle removed,0.5,0.351,0.365,0.445,0.622,0.0,0.955,0.353,0.394,0.764,3.718,1.0,0.88
multi-core on physical cores,boot-params bundle removed,0.7,0.48,0.529,0.582,0.706,0.0,0.992,0.493,0.543,1.045,1.518,0.0,1.037
multi-core on physical cores,boot-params bundle removed,0.94,0.65,0.682,0.761,0.969,0.0,0.949,0.652,0.698,1.038,1.138,0.0,0.945
multi-core on physical cores,frequency pinning removed,0.1,0.064,0.082,0.132,12.956,2.0,1.22,0.075,0.49,0.936,1.19,0.0,5.076
multi-core on physical cores,frequency pinning removed,0.5,0.354,0.394,0.464,11.299,2.0,1.031,0.362,0.494,0.92,1.244,0.0,1.104
multi-core on physical cores,frequency pinning removed,0.7,0.505,0.6,0.656,18.438,1.0,1.125,0.507,0.635,0.907,1.498,0.0,1.214
multi-core on physical cores,frequency pinning removed,0.94,0.668,0.713,0.795,0.855,0.0,0.992,0.681,0.841,1.087,1.186,0.0,1.137
multi-core on physical cores,SMT enabled (multi-core),0.1,0.074,0.087,1.007,1.085,0.0,1.305,0.084,1.01,1.015,1.579,0.0,10.477
multi-core on physical cores,SMT enabled (multi-core),0.5,0.99,1.223,1.237,1.292,0.0,3.199,1.002,1.149,1.241,11.237,9.0,2.568
multi-core on physical cores,SMT enabled (multi-core),0.7,0.594,1.094,1.111,1.195,0.0,2.049,0.665,1.185,1.499,71.433,14.0,2.265
multi-core on physical cores,SMT enabled (multi-core),0.94,1.053,1.232,1.251,1.637,0.0,1.714,1.052,1.271,1.355,8.287,5.0,1.719
