scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,p99_ratio,median,p99,p99_9,max,p99_ratio
workload,label,U,,,,,,,,,,
multi-core on physical cores,IRQ steering removed,0.1,6.324,7.609,9.765,15.19,1.156,0.697,0.828,1.173,3.995,1.02
multi-core on physical cores,IRQ steering removed,0.5,35.541,37.841,45.263,50.284,0.996,3.495,4.612,5.93,8.82,1.065
multi-core on physical cores,IRQ steering removed,0.7,50.006,53.736,64.326,114.214,1.009,4.772,5.136,7.251,8.922,0.993
multi-core on physical cores,IRQ steering removed,0.94,66.721,71.02,142.892,151.782,0.992,6.547,7.667,10.606,51.148,1.047
multi-core on physical cores,boot-params bundle removed,0.1,6.148,6.644,8.233,8.875,1.01,0.696,0.785,1.087,1.172,0.967
multi-core on physical cores,boot-params bundle removed,0.5,34.959,36.346,44.136,47.492,0.956,3.493,3.871,5.287,6.041,0.894
multi-core on physical cores,boot-params bundle removed,0.7,47.974,52.771,58.07,64.788,0.991,4.889,5.379,7.629,8.474,1.04
multi-core on physical cores,boot-params bundle removed,0.94,64.887,68.067,75.637,86.831,0.95,6.485,6.938,9.897,10.885,0.947
multi-core on physical cores,frequency pinning removed,0.1,6.23,7.935,10.094,12.412,1.206,0.704,0.867,1.309,3.756,1.069
multi-core on physical cores,frequency pinning removed,0.5,35.302,39.192,45.627,48.61,1.031,3.569,4.781,5.994,8.599,1.104
multi-core on physical cores,frequency pinning removed,0.7,50.416,59.886,65.417,71.929,1.124,5.022,6.239,7.889,10.062,1.206
multi-core on physical cores,frequency pinning removed,0.94,66.76,71.206,79.413,85.389,0.994,6.761,8.348,10.707,11.69,1.14
