scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,variability,miss_pct,median,p99,p99_9,max,variability,miss_pct
workload,label,U,,,,,,,,,,,,
multi-core on physical cores,rcu_nocbs removed,0.7,52.42,63.846,77.242,158.808,3.03,0.02,4.957,7.001,9.031,11.939,2.409,0.525
multi-core on physical cores,rcu_nocbs removed,0.94,71.342,84.276,99.779,288.587,4.045,0.155,6.654,9.005,11.985,24.055,3.615,0.94
multi-core on physical cores,systemd containment removed,0.1,6.281,7.458,9.157,13.301,2.118,0.0,0.696,0.804,1.221,4.673,6.714,0.09
multi-core on physical cores,systemd containment removed,0.5,35.204,37.198,41.039,47.165,1.34,0.005,3.505,3.908,5.526,6.521,1.86,0.01
multi-core on physical cores,systemd containment removed,0.7,50.036,54.034,66.608,69.068,1.38,0.01,4.883,6.024,7.743,10.381,2.126,0.02
multi-core on physical cores,systemd containment removed,0.94,66.524,71.122,82.315,93.98,1.413,0.005,6.534,7.712,10.223,10.911,1.67,0.37
multi-core on physical cores,IRQ steering removed,0.1,6.324,7.609,9.765,15.19,2.402,0.0,0.697,0.828,1.173,3.995,5.732,0.16
multi-core on physical cores,IRQ steering removed,0.5,35.541,37.841,45.263,50.284,1.415,0.0,3.495,4.612,5.93,8.82,2.524,0.015
multi-core on physical cores,IRQ steering removed,0.7,50.006,53.736,64.326,114.214,2.284,0.015,4.772,5.136,7.251,8.922,1.87,0.075
multi-core on physical cores,IRQ steering removed,0.94,66.721,71.02,142.892,151.782,2.275,0.11,6.547,7.667,10.606,51.148,7.812,0.445
multi-core on physical cores,boot-params bundle removed,0.1,6.148,6.644,8.233,8.875,1.444,0.005,0.696,0.785,1.087,1.172,1.684,0.01
multi-core on physical cores,boot-params bundle removed,0.5,34.959,36.346,44.136,47.492,1.359,0.0,3.493,3.871,5.287,6.041,1.729,0.03
multi-core on physical cores,boot-params bundle removed,0.7,47.974,52.771,58.07,64.788,1.35,0.0,4.889,5.379,7.629,8.474,1.733,0.185
multi-core on physical cores,boot-params bundle removed,0.94,64.887,68.067,75.637,86.831,1.338,0.0,6.485,6.938,9.897,10.885,1.678,0.165
multi-core on physical cores,frequency pinning removed,0.1,6.23,7.935,10.094,12.412,1.992,0.015,0.704,0.867,1.309,3.756,5.335,0.07
multi-core on physical cores,frequency pinning removed,0.5,35.302,39.192,45.627,48.61,1.377,0.01,3.569,4.781,5.994,8.599,2.409,0.075
multi-core on physical cores,frequency pinning removed,0.7,50.416,59.886,65.417,71.929,1.427,0.02,5.022,6.239,7.889,10.062,2.004,0.05
multi-core on physical cores,frequency pinning removed,0.94,66.76,71.206,79.413,85.389,1.279,0.0,6.761,8.348,10.707,11.69,1.729,0.525
multi-core on physical cores,SMT enabled (multi-core),0.1,7.192,8.633,10.867,14.389,2.001,0.162,0.8,1.285,1.367,4.027,5.034,12.86
multi-core on physical cores,SMT enabled (multi-core),0.5,50.024,72.548,73.851,75.599,1.511,45.575,5.768,6.783,7.616,8.975,1.556,50.05
multi-core on physical cores,SMT enabled (multi-core),0.7,59.332,80.57,81.996,89.467,1.508,10.388,6.565,8.552,9.909,10.088,1.537,16.108
multi-core on physical cores,SMT enabled (multi-core),0.94,102.103,117.411,120.043,138.85,1.36,62.245,10.355,12.644,13.303,15.665,1.513,77.948
