model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model2_round4,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7461,0.9412,0.0013,0.1078
model2_round4,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7162,0.8027,0.0015,0.0521
model2_round4,soft,0.3,5000,29,0.0058,2805.6,851.6,1,0.9923,1.0912,0.0004,0.5006
model2_round4,soft,0.4,5000,5000,1.0,3725.2,1193.3,5000,1.045,1.06,0.4987,0.511
model2_round4,soft,0.5,5000,4984,0.9968,2288.2,1027.7,1224,1.0364,1.0471,0.5025,0.5035
model2_round4,tight,0.1,5000,1,0.0002,8231.8,8231.8,1,0.7542,1.4221,0.0012,0.9339
model2_round4,tight,0.2,5000,4999,0.9998,8116.9,22.2,2955,1.2954,1.7632,0.4826,0.9728
model2_round4,tight,0.3,5000,0,0.0,0.0,0.0,0,0.7775,0.7871,0.0016,0.0024
model2_round4,tight,0.4,5000,1,0.0002,722.9,722.9,1,0.7728,1.1846,0.0019,0.4987
model2_round4,tight,0.5,5000,150,0.03,2611.6,227.9,18,1.0653,1.529,0.4906,0.5145
