model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3_sib_cfs_round3,soft,0.1,5000,4380,0.876,4680926.2,3612.8,4312,1.3726,1.6003,0.4966,26.4934
model3_sib_cfs_round3,soft,0.2,5000,4872,0.9744,8219.2,213.2,314,1.1373,1.332,0.5004,0.5457
model3_sib_cfs_round3,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7151,0.7779,0.0017,0.0063
model3_sib_cfs_round3,soft,0.4,5000,4999,0.9998,7382.5,346.7,4103,1.0522,1.1972,0.498,0.5178
model3_sib_cfs_round3,soft,0.5,5000,5000,1.0,5480.0,3417.7,5000,1.0787,1.109,0.5016,0.5028
model3_sib_cfs_round3,soft,0.6,5000,0,0.0,0.0,0.0,0,0.9469,0.991,0.0006,0.2256
model3_sib_cfs_round3,soft,0.7,5000,0,0.0,0.0,0.0,0,0.7401,0.9954,0.0036,0.1108
model3_sib_cfs_round3,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7742,0.9816,0.0049,0.1373
model3_sib_cfs_round3,soft,0.9,5000,0,0.0,0.0,0.0,0,0.9638,0.9852,0.0013,0.5426
model3_sib_cfs_round3,soft,0.94,5000,748,0.1496,27875.7,4538.2,8,1.1381,1.3065,0.4512,0.5027
model3_sib_cfs_round3,tight,0.1,5000,1,0.0002,6855.3,6855.3,1,0.7445,1.3522,0.0015,0.8613
model3_sib_cfs_round3,tight,0.2,5000,0,0.0,0.0,0.0,0,0.7193,0.7424,0.0014,0.0056
model3_sib_cfs_round3,tight,0.3,5000,1,0.0002,8982.3,8982.3,1,0.706,1.5213,0.0016,1.0299
model3_sib_cfs_round3,tight,0.4,5000,1,0.0002,20.8,20.8,1,0.8865,1.0349,0.0178,0.4901
model3_sib_cfs_round3,tight,0.5,5000,3,0.0006,7388.5,3037.0,2,0.7251,1.3097,0.0026,1.1478
model3_sib_cfs_round3,tight,0.6,5000,1,0.0002,4678.1,4678.1,1,0.6853,1.0841,0.0028,1.0217
model3_sib_cfs_round3,tight,0.7,5000,1,0.0002,4988.7,4988.7,1,0.7066,1.0565,0.0035,1.2655
model3_sib_cfs_round3,tight,0.8,5000,1,0.0002,7222.4,7222.4,1,0.8679,1.3856,0.0056,1.5344
model3_sib_cfs_round3,tight,0.9,5000,17,0.0034,9148.8,1492.3,1,0.9602,1.2729,0.0103,5.1786
model3_sib_cfs_round3,tight,0.94,5000,1,0.0002,985.6,985.6,1,0.7562,1.1076,0.0172,0.4788
