i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
0,3401000000000,3401000166491,3401031169115,31169.115,15000.512,0
1,3401050000000,3401052024290,3401080917862,30917.862,15000.360,0
2,3401100000000,3401100023606,3401131246264,31246.264,15000.408,0
3,3401150000000,3401152019404,3401177996044,27996.044,15000.280,0
4,3401200000000,3401220715610,3401248707781,48707.781,15000.512,0
5,3401250000000,3401252011606,3401276340650,26340.650,15000.736,0
6,3401300000000,3401305112382,3401352205882,52205.882,15000.744,1
7,3401350000000,3401352216282,3401376570931,26570.931,15000.488,0
8,3401400000000,3401406741047,3401437734640,37734.640,15000.352,0
9,3401450000000,3401450056379,3401475889589,25889.589,15000.360,0
10,3401500000000,3401516026639,3401557453727,57453.727,15000.440,1
11,3401550000000,3401558151767,3401578183798,28183.798,15000.504,0
12,3401600000000,3401604079748,3401647337388,47337.388,15000.312,0
13,3401650000000,3401652070521,3401672416979,22416.979,15000.344,0
14,3401700000000,3401708005540,3401745219746,45219.746,15000.456,0
15,3401750000000,3401754229613,3401773192751,23192.751,15000.512,0
16,3401800000000,3401805087410,3401856847839,56847.839,15000.320,1
17,3401850000000,3401856883317,3401875888613,25888.613,15000.336,0
18,3401900000000,3401908005047,3401939788786,39788.786,15000.496,0
19,3401950000000,3401950908801,3401971038881,21038.881,15000.368,0
20,3402000000000,3402004024031,3402070933243,70933.243,15000.472,1
21,3402050000000,3402079414738,3402135777030,85777.030,15000.408,1
22,3402100000000,3402153097819,3402193033708,93033.708,15000.344,1
23,3402150000000,3402193049171,3402218241649,68241.649,15000.368,1
24,3402200000000,3402229176965,3402268190830,68190.830,15000.656,1
25,3402250000000,3402268296039,3402296718188,46718.188,15000.280,0
26,3402300000000,3402308053804,3402378126097,78126.097,15000.280,1
27,3402350000000,3402379272937,3402432761102,82761.102,15000.344,1
28,3402400000000,3402437039299,3402472752371,72752.371,15000.400,1
29,3402450000000,3402474952249,3402499594079,49594.079,15000.264,0
30,3402500000000,3402520485914,3402557097531,57097.531,15000.424,1
31,3402550000000,3402560006928,3402587499230,37499.230,15000.360,0
32,3402600000000,3402604225301,3402623232748,23232.748,15000.296,0
33,3402650000000,3402652075980,3402677714788,27714.788,15000.336,0
34,3402700000000,3402712006039,3402745270490,45270.490,15000.272,0
35,3402750000000,3402752032313,3402774848118,24848.118,15000.432,0
36,3402800000000,3402812016632,3402845174186,45174.186,15000.384,0
37,3402850000000,3402850006905,3402874678076,24678.076,15000.328,0
38,3402900000000,3402916544422,3402948387172,48387.172,15000.736,0
39,3402950000000,3402952031757,3402972050238,22050.238,15000.408,0
40,3403000000000,3403020005406,3403056397910,56397.910,15000.320,1
41,3403050000000,3403059439473,3403082868716,32868.716,15000.416,0
42,3403100000000,3403108021597,3403147078059,47078.059,15000.448,0
43,3403150000000,3403150007342,3403173357222,23357.222,15000.416,0
44,3403200000000,3403208046205,3403242057548,42057.548,15000.496,0
45,3403250000000,3403252059081,3403279079208,29079.208,15000.264,0
46,3403300000000,3403304019337,3403335075134,35075.134,15000.344,0
47,3403350000000,3403350057423,3403375778921,25778.921,15000.400,0
48,3403400000000,3403416047026,3403458109974,58109.974,15000.304,1
49,3403450000000,3403460032151,3403479896635,29896.635,15000.448,0
50,3403500000000,3403504096975,3403530176896,30176.896,15000.520,0
51,3403550000000,3403550055339,3403573055147,23055.147,15000.352,0
52,3403600000000,3403600036605,3403633229524,33229.524,15000.408,0
53,3403650000000,3403650017687,3403679167305,29167.305,15000.752,0
54,3403700000000,3403700018368,3403739645310,39645.310,15000.392,0
55,3403750000000,3403750060470,3403773068022,23068.022,15000.376,0
56,3403800000000,3403800014722,3403849950687,49950.687,15000.480,0
57,3403850000000,3403850054144,3403875223737,25223.737,15000.768,0
58,3403900000000,3403900041970,3403927378587,27378.587,15000.368,0
59,3403950000000,3403950012277,3403974742773,24742.773,15000.448,0
60,3404000000000,3404022911438,3404081944215,81944.215,15000.360,1
61,3404050000000,3404083066337,3404146115097,96115.097,15000.448,1
62,3404100000000,3404149019558,3404190405841,90405.841,15000.512,1
63,3404150000000,3404190792374,3404227700195,77700.195,15000.336,1
64,3404200000000,3404228052474,3404265523087,65523.087,15000.392,1
65,3404250000000,3404266156698,3404286253222,36253.222,15000.312,0
66,3404300000000,3404313036845,3404350821852,50821.852,15000.424,1
67,3404350000000,3404352009153,3404376052088,26052.088,15000.472,0
68,3404400000000,3404415268227,3404463433988,63433.988,15000.504,1
69,3404450000000,3404464461733,3404486149208,36149.208,15000.312,0
70,3404500000000,3404505162927,3404544256531,44256.531,15000.520,0
71,3404550000000,3404552026796,3404577407909,27407.909,15000.520,0
72,3404600000000,3404613044090,3404655429936,55429.936,15000.432,1
73,3404650000000,3404658689516,3404679783225,29783.225,15000.296,0
74,3404700000000,3404708011524,3404745382392,45382.392,15000.416,0
75,3404750000000,3404752029807,3404778606125,28606.125,15000.624,0
76,3404800000000,3404812009910,3404859570298,59570.298,15000.320,1
77,3404850000000,3404859605631,3404877878450,27878.450,15000.528,0
78,3404900000000,3404912027519,3404952940299,52940.299,15000.288,1
79,3404950000000,3404955925538,3404976017894,26017.894,15013.184,0
80,3405000000000,3405012006218,3405050007706,50007.706,15000.400,1
81,3405050000000,3405051679685,3405074473140,24473.140,15000.480,0
82,3405100000000,3405113054683,3405147255708,47255.708,15000.488,0
83,3405150000000,3405151843651,3405174423601,24423.601,15000.560,0
84,3405200000000,3405200053962,3405228193491,28193.491,15000.416,0
85,3405250000000,3405252191045,3405273851827,23851.827,15000.400,0
86,3405300000000,3405308007728,3405338825525,38825.525,15000.272,0
87,3405350000000,3405352014187,3405375018507,25018.507,15000.464,0
