i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
1124,3423480000000,3423480063335,3423485064608,5064.608,5000.520,0
1125,3423500000000,3423501605082,3423510601929,10601.929,5000.368,0
1126,3423520000000,3423524004433,3423533002664,13002.664,5000.480,0
1127,3423540000000,3423540012768,3423549018742,9018.742,5000.432,0
1128,3423560000000,3423560011932,3423568691464,8691.464,5000.504,0
1129,3423580000000,3423580021439,3423585022064,5022.064,5000.288,0
1130,3423600000000,3423608634773,3423623509744,23509.744,5000.280,1
1131,3423620000000,3423624686736,3423638590294,18590.294,5000.456,0
1132,3423640000000,3423640060601,3423649243555,9243.555,5000.328,0
1133,3423660000000,3423664027605,3423672111523,12111.523,5000.392,0
1134,3423680000000,3423680035539,3423685037084,5037.084,5000.448,0
1135,3423700000000,3423708129332,3423721662100,21662.100,5000.304,1
1136,3423720000000,3423728060653,3423738387769,18387.769,5000.272,0
1137,3423740000000,3423740005570,3423749022567,9022.567,5000.400,0
1138,3423760000000,3423760035412,3423769252668,9252.668,5000.384,0
1139,3423780000000,3423784135711,3423789179717,9179.717,5000.504,0
1140,3423800000000,3423824037718,3423838301899,38301.899,5000.504,1
1141,3423820000000,3423838464664,3423859767659,39767.659,5000.528,1
1142,3423840000000,3423860042784,3423877517698,37517.698,5000.488,1
1143,3423860000000,3423879257522,3423895072421,35072.421,5000.328,1
1144,3423880000000,3423895094244,3423911797914,31797.914,5000.336,1
1145,3423900000000,3423920289148,3423948662634,48662.634,5000.320,1
1146,3423920000000,3423948679057,3423980485371,60485.371,5000.408,1
1147,3423940000000,3423989191038,3423998252632,58252.632,5000.344,1
1148,3423960000000,3424023966140,3424050382009,90382.009,5000.448,1
1149,3423980000000,3424050452836,3424068642836,88642.836,5000.472,1
1150,3424000000000,3424070344935,3424087126920,87126.920,5000.464,1
1151,3424020000000,3424096005951,3424114826292,94826.292,5000.480,1
1152,3424040000000,3424124013222,3424133019988,93019.988,5000.368,1
1153,3424060000000,3424136006063,3424145026069,85026.069,5000.312,1
