i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
166,3409300000000,3409300066589,3409338484259,38484.259,15000.456,0
167,3409350000000,3409350444602,3409378686904,28686.904,15000.360,0
168,3409400000000,3409400049740,3409431664532,31664.532,15000.400,0
169,3409450000000,3409450838597,3409475881158,25881.158,15000.440,0
170,3409500000000,3409501124801,3409537300345,37300.345,15000.312,0
171,3409550000000,3409551609439,3409576591036,26591.036,15000.280,0
172,3409600000000,3409600064432,3409635059857,35059.857,15000.456,0
173,3409650000000,3409652004723,3409675612733,25612.733,15000.312,0
174,3409700000000,3409700063630,3409735062455,35062.455,15000.768,0
175,3409750000000,3409752028615,3409775510387,25510.387,15000.424,0
176,3409800000000,3409800017528,3409835045335,35045.335,15000.512,0
177,3409850000000,3409852025334,3409875547191,25547.191,15000.304,0
178,3409900000000,3409900016239,3409935014415,35014.415,15000.360,0
179,3409950000000,3409952039340,3409999794012,49794.012,15000.344,0
180,3410000000000,3410016158502,3410079739077,79739.077,15000.408,1
181,3410050000000,3410079797625,3410142223368,92223.368,15000.352,1
182,3410100000000,3410144014133,3410174018107,74018.107,15000.592,1
183,3410150000000,3410175625541,3410195800010,45800.010,15000.472,0
184,3410200000000,3410222673526,3410256535020,56535.020,15000.328,1
185,3410250000000,3410257128955,3410280623902,30623.902,15000.416,0
186,3410300000000,3410300052358,3410315069692,15069.692,15000.344,0
187,3410350000000,3410350009544,3410375906575,25906.575,15000.280,0
188,3410400000000,3410408188153,3410449494266,49494.266,15000.392,0
189,3410450000000,3410454546609,3410471229876,21229.876,15000.680,0
190,3410500000000,3410504016516,3410548101679,48101.679,15000.352,0
191,3410550000000,3410552039786,3410572406083,22406.083,15000.312,0
192,3410600000000,3410613746634,3410652894014,52894.014,15000.416,1
193,3410650000000,3410652907349,3410669173942,19173.942,15000.432,0
194,3410700000000,3410712011383,3410744162825,44162.825,15000.368,0
195,3410750000000,3410756004752,3410776626183,26626.183,15000.456,0
196,3410800000000,3410800048839,3410836894361,36894.361,15000.536,0
197,3410850000000,3410852019543,3410875287705,25287.705,15000.392,0
198,3410900000000,3410900034574,3410940350715,40350.715,15000.312,0
199,3410950000000,3410952027133,3410976411931,26411.931,15000.312,0
200,3411000000000,3411000118439,3411048283571,48283.571,15000.536,0
201,3411050000000,3411052030451,3411090027423,40027.423,15000.328,0
202,3411100000000,3411104031898,3411147871430,47871.430,15000.696,0
203,3411150000000,3411152056080,3411182005361,32005.361,15000.472,0
204,3411200000000,3411216013677,3411252094196,52094.196,15000.392,1
205,3411250000000,3411253108495,3411287212484,37212.484,15000.288,0
206,3411300000000,3411332018511,3411396520062,96520.062,15000.512,1
207,3411350000000,3411396960984,3411426725039,76725.039,15000.360,1
208,3411400000000,3411432325728,3411476362758,76362.758,15000.624,1
