i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
0,3401000000000,3401012069379,3401021069670,21069.670,5000.336,1
1,3401020000000,3401031179403,3401036179909,16179.909,5000.256,0
2,3401040000000,3401056018275,3401065034260,25034.260,5000.368,1
3,3401060000000,3401068019564,3401078766812,18766.812,5000.544,0
4,3401080000000,3401080924574,3401085929200,5929.200,5000.264,0
5,3401100000000,3401116032159,3401132282216,32282.216,5000.776,1
6,3401120000000,3401136004683,3401141017845,21017.845,5000.408,1
7,3401140000000,3401148056497,3401157056516,17056.516,5000.456,0
8,3401160000000,3401164216279,3401169636077,9636.077,5000.464,0
9,3401180000000,3401180048501,3401185173478,5173.478,5000.304,0
10,3401200000000,3401216032921,3401233031173,33031.173,5000.480,1
11,3401220000000,3401244068697,3401249089723,29089.723,5000.456,1
12,3401240000000,3401249099794,3401262125699,22125.699,5000.608,1
13,3401260000000,3401264004240,3401271880114,11880.114,5000.480,0
14,3401280000000,3401280026520,3401285031290,5031.290,5000.480,0
15,3401300000000,3401304018027,3401317046780,17046.780,5000.352,0
16,3401320000000,3401320005309,3401331594203,11594.203,5000.360,0
17,3401340000000,3401340032797,3401349052143,9052.143,5000.312,0
18,3401360000000,3401360038215,3401365053008,5053.008,5000.584,0
19,3401380000000,3401380023146,3401385046475,5046.475,5000.520,0
20,3401400000000,3401416039701,3401429092540,29092.540,5000.552,1
21,3401420000000,3401432004961,3401441026874,21026.874,5000.296,1
22,3401440000000,3401444004746,3401449112293,9112.293,5000.384,0
23,3401460000000,3401460027394,3401465969010,5969.010,5000.360,0
24,3401480000000,3401480058026,3401485082370,5082.370,5000.408,0
25,3401500000000,3401520029919,3401529075951,29075.951,5000.344,1
26,3401520000000,3401532014353,3401541043267,21043.267,5000.592,1
27,3401540000000,3401544005659,3401552322206,12322.206,5000.352,0
28,3401560000000,3401564005406,3401569026646,9026.646,5000.408,0
29,3401580000000,3401580059419,3401585060198,5060.198,5000.416,0
30,3401600000000,3401616040976,3401629075185,29075.185,5000.400,1
31,3401620000000,3401629087824,3401646108810,26108.810,5000.600,1
32,3401640000000,3401647358771,3401662354707,22354.707,5000.472,1
33,3401660000000,3401668026406,3401673052143,13052.143,5000.280,0
34,3401680000000,3401680058365,3401685112212,5112.212,5000.424,0
35,3401700000000,3401716021963,3401729048581,29048.581,5000.424,1
36,3401720000000,3401736030732,3401746295951,26295.951,5000.552,1
37,3401740000000,3401752043205,3401757043840,17043.840,5000.296,0
38,3401760000000,3401768012513,3401774574462,14574.462,5000.512,0
39,3401780000000,3401780018002,3401785031603,5031.603,5000.416,0
40,3401800000000,3401800059705,3401805064611,5064.611,5000.480,0
41,3401820000000,3401823439703,3401832574744,12574.744,5000.624,0
42,3401840000000,3401842098222,3401850069505,10069.505,5000.328,0
43,3401860000000,3401860031265,3401865031939,5031.939,5000.376,0
44,3401880000000,3401880065793,3401885079466,5079.466,5000.416,0
45,3401900000000,3401900029157,3401909048142,9048.142,5000.424,0
46,3401920000000,3401920062356,3401925229108,5229.108,5000.864,0
47,3401940000000,3401943106986,3401968141388,28141.388,5000.304,1
48,3401960000000,3401968271091,3401982951169,22951.169,5000.424,1
49,3401980000000,3401988139582,3402005469506,25469.506,5000.312,1
50,3402000000000,3402011406276,3402024692323,24692.323,5000.424,1
51,3402020000000,3402024978543,3402036416711,16416.711,5000.328,0
52,3402040000000,3402040111757,3402053153629,13153.629,5000.448,0
53,3402060000000,3402060045428,3402069084612,9084.612,5000.416,0
54,3402080000000,3402080022447,3402087069691,7069.691,5000.448,0
55,3402100000000,3402109647096,3402118641836,18641.836,5000.360,0
56,3402120000000,3402120010428,3402145012456,25012.456,5000.368,1
57,3402140000000,3402146993062,3402151993712,11993.712,5000.576,0
58,3402160000000,3402164004033,3402173090742,13090.742,5000.272,0
59,3402180000000,3402180009386,3402196050081,16050.081,5000.392,0
60,3402200000000,3402220050563,3402228154005,28154.005,5000.384,1
61,3402220000000,3402231253572,3402236286236,16286.236,5000.328,0
62,3402240000000,3402240789242,3402262520314,22520.314,5000.408,1
63,3402260000000,3402264039272,3402270566032,10566.032,5000.496,0
64,3402280000000,3402280128595,3402289774361,9774.361,5000.288,0
65,3402300000000,3402304080017,3402319390067,19390.067,5000.320,0
66,3402320000000,3402332028512,3402357082120,37082.120,5000.288,1
67,3402340000000,3402360006612,3402366245784,26245.784,5000.288,1
68,3402360000000,3402368016668,3402378545732,18545.732,5000.320,0
69,3402380000000,3402380064954,3402390189470,10189.470,5000.488,0
70,3402400000000,3402400116168,3402417216709,17216.709,5000.352,0
71,3402420000000,3402424025193,3402436281512,16281.512,5000.368,0
72,3402440000000,3402444012236,3402453023318,13023.318,5000.488,0
73,3402460000000,3402464011518,3402472681792,12681.792,5000.424,0
74,3402480000000,3402484026487,3402490041466,10041.466,5000.264,0
75,3402500000000,3402500097035,3402520465356,20465.356,5000.728,1
76,3402520000000,3402520991567,3402534762756,14762.756,5000.496,0
77,3402540000000,3402544042635,3402557051070,17051.070,5000.400,0
78,3402560000000,3402566074864,3402575099801,15099.801,5000.280,0
79,3402580000000,3402584012930,3402589026587,9026.587,5000.472,0
80,3402600000000,3402608053609,3402625047765,25047.765,5000.456,1
81,3402620000000,3402628004118,3402637006113,17006.113,5000.392,0
82,3402640000000,3402640068347,3402647030213,7030.213,5000.344,0
83,3402660000000,3402660033952,3402665043177,5043.177,5000.496,0
84,3402680000000,3402680061864,3402685114047,5114.047,5000.392,0
85,3402700000000,3402720036638,3402731957548,31957.548,5000.696,1
86,3402720000000,3402731970836,3402744993029,24993.029,5000.336,1
87,3402740000000,3402748004514,3402762782922,22782.922,5000.408,1
88,3402760000000,3402762798840,3402767801211,7801.211,5000.456,0
89,3402780000000,3402780062962,3402785068444,5068.444,5000.520,0
90,3402800000000,3402820046503,3402831496622,31496.622,5000.368,1
91,3402820000000,3402836004403,3402845076545,25076.545,5000.360,1
92,3402840000000,3402848005580,3402857026206,17026.206,5000.424,0
93,3402860000000,3402860023476,3402865024095,5024.095,5000.328,0
94,3402880000000,3402880067195,3402885068150,5068.150,5000.480,0
95,3402900000000,3402912912572,3402929941685,29941.685,5000.304,1
96,3402920000000,3402930981092,3402947610906,27610.906,5000.424,1
97,3402940000000,3402948393099,3402959440831,19440.831,5000.384,0
98,3402960000000,3402968026143,3402974196544,14196.544,5000.520,0
99,3402980000000,3402980019033,3402985603002,5603.002,5000.360,0
100,3403000000000,3403008043698,3403013044484,13044.484,5000.464,0
101,3403020000000,3403020033892,3403025034734,5034.734,5000.480,0
102,3403040000000,3403040021302,3403046068536,6068.536,5000.456,0
103,3403060000000,3403064013689,3403069036154,9036.154,5000.304,0
104,3403080000000,3403082880211,3403087929897,7929.897,5000.632,0
105,3403100000000,3403120011159,3403134255611,34255.611,5000.464,1
106,3403120000000,3403136015040,3403142308169,22308.169,5000.344,1
107,3403140000000,3403147342153,3403169441912,29441.912,5000.416,1
108,3403160000000,3403169450927,3403174451330,14451.330,5000.344,0
109,3403180000000,3403180059922,3403185912808,5912.808,5000.392,0
110,3403200000000,3403208087482,3403213088533,13088.533,5000.520,0
111,3403220000000,3403232010306,3403237026196,17026.196,5000.432,0
112,3403240000000,3403244032986,3403253059155,13059.155,5000.360,0
113,3403260000000,3403268020541,3403274806411,14806.411,5000.424,0
