model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w4_phys_res_round3,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7483,0.7776,0.0014,0.0253
model3-w4_phys_res_round3,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7423,0.8179,0.0018,0.0891
model3-w4_phys_res_round3,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7384,0.801,0.0019,0.0394
model3-w4_phys_res_round3,soft,0.4,5000,1,0.0002,8588.3,8588.3,1,0.7413,1.2361,0.0021,0.4929
model3-w4_phys_res_round3,soft,0.5,5000,0,0.0,0.0,0.0,0,0.7236,0.829,0.0024,0.0031
model3-w4_phys_res_round3,soft,0.6,5000,0,0.0,0.0,0.0,0,0.7312,0.8505,0.0028,0.0981
model3-w4_phys_res_round3,soft,0.7,5000,0,0.0,0.0,0.0,0,0.7322,0.8187,0.004,0.012
model3-w4_phys_res_round3,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7323,0.8108,0.0066,0.0083
model3-w4_phys_res_round3,soft,0.9,5000,0,0.0,0.0,0.0,0,0.734,0.8036,0.0016,0.691
model3-w4_phys_res_round3,soft,0.94,5000,0,0.0,0.0,0.0,0,0.7317,0.8659,0.0025,0.289
model3-w4_phys_res_round3,tight,0.1,5000,68,0.0136,2214.6,69.8,4,1.1307,1.3717,0.4859,0.6329
model3-w4_phys_res_round3,tight,0.2,5000,44,0.0088,3428.2,114.2,2,0.9304,1.4065,0.0029,0.7388
model3-w4_phys_res_round3,tight,0.3,5000,40,0.008,14833.7,714.0,4,0.8881,1.3085,0.0032,1.6098
model3-w4_phys_res_round3,tight,0.4,5000,67,0.0134,1218.5,484.4,4,1.0702,1.3104,0.4962,0.4995
model3-w4_phys_res_round3,tight,0.5,5000,351,0.0702,4069.5,443.5,7,1.1666,1.4042,0.4731,1.0289
model3-w4_phys_res_round3,tight,0.6,5000,49,0.0098,10049.3,671.2,3,0.95,1.4001,0.123,1.9355
model3-w4_phys_res_round3,tight,0.7,5000,50,0.01,1690.8,649.6,3,0.9926,1.3215,0.0115,0.5097
model3-w4_phys_res_round3,tight,0.8,5000,50,0.01,2052.1,691.5,3,0.9941,1.3052,0.0153,0.5102
model3-w4_phys_res_round3,tight,0.9,5000,37,0.0074,5863.7,1333.6,4,0.9331,1.3134,0.0258,4.6089
model3-w4_phys_res_round3,tight,0.94,5000,39,0.0078,7235.1,1413.9,4,0.9459,1.2935,0.0382,8.4407
