model,scale,confidence,U_safe,note,U_tested_max,margin_needed_at_U_tested_max
model3_sib_cfs_round5,soft,p99,0.1,breaks even at lowest tested U,0.94,1.142
model3_sib_cfs_round5,soft,p999,0.1,breaks even at lowest tested U,0.94,1.161
model3_sib_cfs_round5,tight,p99,0.2,breaks even at lowest tested U,0.94,1.442
model3_sib_cfs_round5,tight,p999,0.2,breaks even at lowest tested U,0.94,1.491
