model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3_sib_cfs_round5,soft,0.1,5000,5000,1.0,4442.6,3734.2,5000,1.4243,1.4803,0.498,0.499
model3_sib_cfs_round5,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7285,0.8689,0.0017,0.0582
model3_sib_cfs_round5,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7291,0.7399,0.0019,0.0538
model3_sib_cfs_round5,soft,0.4,5000,0,0.0,0.0,0.0,0,0.7126,0.7811,0.0023,0.0512
model3_sib_cfs_round5,soft,0.5,5000,0,0.0,0.0,0.0,0,0.783,0.8274,0.0027,0.0033
model3_sib_cfs_round5,soft,0.6,5000,1,0.0002,10884.9,10884.9,1,0.8848,1.0253,0.0035,0.6171
model3_sib_cfs_round5,soft,0.7,5000,20,0.004,6427.4,926.7,2,0.9978,1.0799,0.0007,0.5838
model3_sib_cfs_round5,soft,0.8,5000,4997,0.9994,7400.7,2120.6,4482,1.0415,1.068,0.5057,0.6183
model3_sib_cfs_round5,soft,0.9,5000,0,0.0,0.0,0.0,0,0.7946,0.8354,0.0014,0.0022
model3_sib_cfs_round5,soft,0.94,5000,1193,0.2386,16523.9,5620.8,17,1.1582,1.1826,0.484,0.5039
model3_sib_cfs_round5,tight,0.2,5000,2435,0.487,5798.9,99.5,2,1.059,1.3963,0.5168,0.8129
model3_sib_cfs_round5,tight,0.3,5000,5000,1.0,5866.7,717.1,5000,1.4212,1.554,0.4835,0.871
model3_sib_cfs_round5,tight,0.4,5000,1,0.0002,8436.2,8436.2,1,0.7456,1.261,0.002,1.116
model3_sib_cfs_round5,tight,0.5,5000,1,0.0002,1161.7,1161.7,1,0.7415,1.2743,0.0022,0.479
model3_sib_cfs_round5,tight,0.6,5000,1,0.0002,2948.8,2948.8,1,0.7153,1.1499,0.0028,0.7562
model3_sib_cfs_round5,tight,0.7,5000,761,0.1522,8604.2,94.9,6,1.0674,1.1512,0.5059,1.7577
model3_sib_cfs_round5,tight,0.8,5000,2,0.0004,2574.5,1356.3,1,0.7967,1.034,0.0063,1.0814
model3_sib_cfs_round5,tight,0.9,5000,4187,0.8374,8006.4,84.4,78,1.034,1.259,0.5625,4.2601
model3_sib_cfs_round5,tight,0.94,5000,3777,0.7554,6354.7,701.4,37,1.4987,1.566,0.5237,4.6489
