model,scale,U,n,miss_count,miss_rate,longest_consecutive_miss_run_max_across_sources,alpha_p99,alpha_max,delta_p99,delta_max
model1_pooled,soft,0.1,20000,13,0.00065,0,0.7669,1.213,0.0014,0.4997
model1_pooled,soft,0.2,20000,0,0.0,0,0.7275,0.8015,0.0002,0.0372
model1_pooled,soft,0.3,20000,2,0.0001,0,0.7519,1.0239,0.0005,0.4984
model1_pooled,soft,0.4,20000,0,0.0,0,0.721,0.8114,0.0021,0.0707
model1_pooled,soft,0.5,20000,3,0.00015,0,0.7625,1.3172,0.0025,0.4977
model1_pooled,soft,0.6,20000,34,0.0017,0,0.7834,1.1201,0.0009,0.5003
model1_pooled,soft,0.7,20000,1,5e-05,0,0.7359,0.7727,0.004,10.0192
model1_pooled,soft,0.8,20000,0,0.0,0,0.7615,0.9996,0.0062,0.075
model1_pooled,soft,0.9,20000,0,0.0,0,0.7184,0.82,0.0015,0.2695
model1_pooled,soft,0.94,20000,17,0.00085,0,0.7544,1.0988,0.0036,0.7329
model1_pooled,tight,0.1,20000,3,0.00015,0,0.7792,1.093,0.0012,1.2051
model1_pooled,tight,0.2,20000,3,0.00015,0,0.7753,1.1525,0.0014,1.2113
model1_pooled,tight,0.3,20000,63,0.00315,0,0.7858,1.3943,0.0023,2.376
model1_pooled,tight,0.4,20000,37,0.00185,0,0.7562,1.2671,0.0027,0.6163
model1_pooled,tight,0.5,20000,4,0.0002,0,0.7462,1.1131,0.0024,1.6472
model1_pooled,tight,0.6,20000,68,0.0034,0,0.8063,1.3461,0.0051,0.5912
model1_pooled,tight,0.7,20000,2,0.0001,0,0.7704,0.8237,0.0038,1.2472
model1_pooled,tight,0.8,20000,35,0.00175,0,0.7997,1.3686,0.0079,7.1842
model1_pooled,tight,0.9,20000,1,5e-05,0,0.7434,0.8453,0.0114,8.9989
model1_pooled,tight,0.94,20000,2,0.0001,0,0.7426,0.8532,0.0193,6.3812
