model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w3_phys_cfs_round4,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7372,0.8475,0.0015,0.0019
model3-w3_phys_cfs_round4,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7279,0.7473,0.0017,0.0021
model3-w3_phys_cfs_round4,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7281,0.8137,0.0018,0.0035
model3-w3_phys_cfs_round4,soft,0.4,5000,0,0.0,0.0,0.0,0,0.7133,0.7585,0.0022,0.0666
model3-w3_phys_cfs_round4,soft,0.5,5000,0,0.0,0.0,0.0,0,0.7298,0.7653,0.0027,0.1071
model3-w3_phys_cfs_round4,soft,0.6,5000,0,0.0,0.0,0.0,0,0.7252,0.7546,0.003,0.0578
model3-w3_phys_cfs_round4,soft,0.7,5000,0,0.0,0.0,0.0,0,0.7101,0.7355,0.0038,0.1145
model3-w3_phys_cfs_round4,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7058,0.7189,0.0063,0.1537
model3-w3_phys_cfs_round4,soft,0.9,5000,0,0.0,0.0,0.0,0,0.7242,0.7422,0.0015,0.6098
model3-w3_phys_cfs_round4,soft,0.94,5000,0,0.0,0.0,0.0,0,0.7124,0.7693,0.0032,0.7278
model3-w3_phys_cfs_round4,tight,0.1,5000,1,0.0002,23.7,23.7,1,0.7775,0.9594,0.0014,0.5036
model3-w3_phys_cfs_round4,tight,0.2,5000,1,0.0002,32.9,32.9,1,0.7554,0.9261,0.016,0.5385
model3-w3_phys_cfs_round4,tight,0.3,5000,1,0.0002,366.0,366.0,1,0.7422,1.3907,0.0017,0.4424
model3-w3_phys_cfs_round4,tight,0.4,5000,1,0.0002,34.0,34.0,1,0.746,0.9972,0.0019,0.5038
model3-w3_phys_cfs_round4,tight,0.5,5000,2,0.0004,18794.2,11728.1,1,0.7436,0.8068,0.023,2.5312
model3-w3_phys_cfs_round4,tight,0.6,5000,0,0.0,0.0,0.0,0,0.7167,0.8117,0.0036,0.2691
model3-w3_phys_cfs_round4,tight,0.7,5000,1,0.0002,1591.6,1591.6,1,0.7401,0.7497,0.004,1.0969
model3-w3_phys_cfs_round4,tight,0.8,5000,0,0.0,0.0,0.0,0,0.7561,0.8237,0.0072,0.0189
model3-w3_phys_cfs_round4,tight,0.9,5000,0,0.0,0.0,0.0,0,0.7327,0.8546,0.0118,1.33
model3-w3_phys_cfs_round4,tight,0.94,5000,1,0.0002,1489.7,1489.7,1,0.734,0.927,0.0194,3.9462
