model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w4_phys_res_round1,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7323,0.8184,0.0014,0.005
model3-w4_phys_res_round1,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7301,0.8036,0.0015,0.0693
model3-w4_phys_res_round1,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7257,0.7326,0.0018,0.0023
model3-w4_phys_res_round1,soft,0.4,5000,0,0.0,0.0,0.0,0,0.7298,0.7491,0.0021,0.0028
model3-w4_phys_res_round1,soft,0.5,5000,0,0.0,0.0,0.0,0,0.7387,0.7666,0.0024,0.0781
model3-w4_phys_res_round1,soft,0.6,5000,0,0.0,0.0,0.0,0,0.7245,0.7311,0.0028,0.0032
model3-w4_phys_res_round1,soft,0.7,5000,0,0.0,0.0,0.0,0,0.7243,0.7455,0.0038,0.1393
model3-w4_phys_res_round1,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7225,0.7415,0.0063,0.0079
model3-w4_phys_res_round1,soft,0.9,5000,0,0.0,0.0,0.0,0,0.7229,0.7428,0.0016,0.5985
model3-w4_phys_res_round1,soft,0.94,5000,0,0.0,0.0,0.0,0,0.7224,0.7346,0.0028,0.0077
model3-w4_phys_res_round1,tight,0.1,5000,1,0.0002,389.9,389.9,1,0.7632,1.3381,0.0015,0.5029
model3-w4_phys_res_round1,tight,0.2,5000,1,0.0002,2359.1,2359.1,1,0.7358,0.7576,0.0016,0.6835
model3-w4_phys_res_round1,tight,0.3,5000,0,0.0,0.0,0.0,0,0.7426,0.8075,0.0019,0.5034
model3-w4_phys_res_round1,tight,0.4,5000,0,0.0,0.0,0.0,0,0.7403,0.9273,0.0023,0.0103
model3-w4_phys_res_round1,tight,0.5,5000,0,0.0,0.0,0.0,0,0.7368,0.7576,0.0027,0.3301
model3-w4_phys_res_round1,tight,0.6,5000,1,0.0002,2074.9,2074.9,1,0.7397,0.7685,0.0209,0.9672
model3-w4_phys_res_round1,tight,0.7,5000,1,0.0002,1350.0,1350.0,1,0.7378,0.7659,0.0042,1.0341
model3-w4_phys_res_round1,tight,0.8,5000,2,0.0004,3973.3,2197.5,1,0.7411,0.854,0.0063,2.0748
model3-w4_phys_res_round1,tight,0.9,5000,2,0.0004,3450.5,1949.0,1,0.7313,0.7664,0.0122,3.5316
model3-w4_phys_res_round1,tight,0.94,5000,1,0.0002,1969.3,1969.3,1,0.7359,0.7512,0.0201,4.399
