#Fixed C = 40000
#T = 100000
#CPU Speed: 1
#PID: 8
#Cycles: 984408
#Start: 115530326019
0 0	115530361917	35898	35438	-0.641020
0 1	115530460659	34640	34593	-0.653600
0 2	115530558865	32846	32747	-0.671540
0 3	115530661759	35740	35645	-0.642600
0 4	115530758481	32462	32361	-0.675380
0 5	115530858138	32119	32012	-0.678810
0 6	115530961160	35141	35076	-0.648590
0 7	115531058458	32439	32344	-0.675610
0 8	115531158444	32425	32323	-0.675750
0 9	115531262859	36840	36777	-0.631600
0 10	115531354268	28249	28174	-0.717510
0 11	115531457145	31126	31050	-0.688740
0 12	115531561736	35717	35625	-0.642830
0 13	115531658363	32344	32263	-0.676560
0 14	115531758025	32006	31911	-0.679940
0 15	115531861010	34991	34944	-0.650090
0 16	115531958194	32175	32119	-0.678250
0 17	115532054852	28833	28774	-0.711670
0 18	115532158321	32302	32193	-0.676980
0 19	115532257465	31446	30991	-0.685540
0 20	115532356431	30412	30170	-0.695880
0 21	115532459057	33038	32938	-0.669620
0 22	115532558638	32619	32510	-0.673810
0 23	115532658453	32434	32208	-0.675660
0 24	115532758497	32478	32270	-0.675220
0 25	115532858555	32536	32458	-0.674640
0 26	115532959769	33750	33651	-0.662500
0 27	115533058625	32606	32508	-0.673940
0 28	115533159110	33091	32857	-0.669090
0 29	115533258900	32881	32421	-0.671190
0 30	115533359697	33678	33217	-0.663220
0 31	115533458477	32458	32384	-0.675420
0 32	115533558770	32751	32524	-0.672490
0 33	115533659597	33578	33483	-0.664220
0 34	115533759700	33681	33456	-0.663190
0 35	115533858378	32359	32256	-0.676410
0 36	115533960397	34378	34273	-0.656220
0 37	115534062117	36098	35866	-0.639020
0 38	115534161503	35484	35260	-0.645160
0 39	115534259829	33810	33346	-0.661900
0 40	115534359133	33114	32888	-0.668860
0 41	115534462287	36268	36186	-0.637320
0 42	115534561671	35652	35544	-0.643480
0 43	115534663140	37121	37034	-0.628790
0 44	115534761934	35915	35798	-0.640850
0 45	115534862544	36525	36290	-0.634750
0 46	115534962376	36357	36320	-0.636430
0 47	115535061929	35910	35676	-0.640900
0 48	115535160707	34688	34458	-0.653120
0 49	115535260554	34535	34300	-0.654650
