model,scale,confidence,U_safe,note,U_tested_max,margin_needed_at_U_tested_max
model2_pooled,soft,p99,0.1,breaks even at lowest tested U,0.5,1.017
model2_pooled,soft,p999,0.1,breaks even at lowest tested U,0.5,1.019
model2_pooled,tight,p99,0.1964,interpolated crossing,0.5,0.478
model2_pooled,tight,p999,0.1956,interpolated crossing,0.5,1.025
