#WCET = 30000
#Period = 300000
#Nice = -10
#Iterations = 50
#Scheduler: CFS (SCHED_OTHER)
#CPU Speed: 1
#PID: 10
#Cycles: 697516
#Start: 122390083330
0 0	122390105372	22042	20154	-0.926527
0 1	122390400498	17168	16794	-0.942773
0 2	122390700952	17622	17084	-0.941260
0 3	122391001210	17880	17378	-0.940400
0 4	122391300400	17070	16581	-0.943100
0 5	122391602317	18987	18497	-0.936710
0 6	122391901031	17701	17226	-0.940997
0 7	122392204261	20931	19948	-0.930230
0 8	122392504970	21640	20393	-0.927867
0 9	122392804807	21477	19861	-0.928410
0 10	122393102213	18883	18494	-0.937057
0 11	122393401669	18339	17775	-0.938870
0 12	122393703866	20536	19711	-0.931547
0 13	122394003263	19933	19217	-0.933557
0 14	122394299376	16046	15046	-0.946513
0 15	122394597529	14199	13737	-0.952670
0 16	122394900823	17493	16930	-0.941690
0 17	122395200737	17407	16907	-0.941977
0 18	122395501074	17744	17064	-0.940853
0 19	122395801926	18596	17776	-0.938013
0 20	122396114924	31594	23069	-0.894687
0 21	122396406583	23253	20139	-0.922490
0 22	122396707819	24489	20356	-0.918370
0 23	122397010316	26986	20564	-0.910047
0 24	122397300038	16708	16580	-0.944307
0 25	122397601013	17683	17175	-0.941057
0 26	122397900831	17501	17004	-0.941663
0 27	122398201364	18034	17875	-0.939887
0 28	122398502372	19042	18619	-0.936527
0 29	122398802550	19220	18700	-0.935933
0 30	122399102240	18910	18454	-0.936967
0 31	122399402404	19074	18929	-0.936420
0 32	122399702965	19635	19143	-0.934550
0 33	122400004194	20864	20255	-0.930453
0 34	122400302221	18891	18744	-0.937030
0 35	122400603419	20089	19409	-0.933037
0 36	122400902962	19632	19118	-0.934560
0 37	122401202384	19054	18919	-0.936487
0 38	122401502926	19596	19083	-0.934680
0 39	122401803165	19835	19394	-0.933883
0 40	122402103008	19678	19173	-0.934407
0 41	122402402399	19069	18892	-0.936437
0 42	122402708868	25538	22570	-0.914873
0 43	122403003304	19974	19450	-0.933420
0 44	122403302864	19534	19351	-0.934887
0 45	122403603725	20395	19868	-0.932017
0 46	122403903401	20071	19572	-0.933097
0 47	122404202451	19121	18936	-0.936263
0 48	122404503905	20575	20121	-0.931417
0 49	122404803318	19988	19603	-0.933373
