round,round_time,scale,U,n,median_C,cv,miss_rate
round1,2026-08-03 09:09:35.786400,soft,0.1,5000,7434.43,0.034461125938231765,0.0026
round1,2026-08-03 09:09:35.786400,soft,0.2,5000,14446.425,0.004099422264291292,0.0
round1,2026-08-03 09:09:35.786400,soft,0.3,5000,21684.3765,0.00443256998759665,0.0
round1,2026-08-03 09:09:35.786400,soft,0.4,5000,28625.6135,0.006310523665922525,0.0
round1,2026-08-03 09:09:35.786400,soft,0.5,5000,36662.049,0.025560042593981654,0.0006
round1,2026-08-03 09:09:35.786400,soft,0.6,5000,43235.07,0.0031356745180868366,0.0
round1,2026-08-03 09:09:35.786400,soft,0.7,5000,51227.517,0.0028825457746537394,0.0002
round1,2026-08-03 09:09:35.786400,soft,0.8,5000,58551.398,0.027093460796145826,0.0
round1,2026-08-03 09:09:35.786400,soft,0.9,5000,64414.407,0.002799251620977848,0.0
round1,2026-08-03 09:09:35.786400,soft,0.94,5000,67372.638,0.0023509483838954582,0.0
round1,2026-08-03 09:09:35.786400,tight,0.1,5000,755.497,0.015588096701693402,0.0002
round1,2026-08-03 09:09:35.786400,tight,0.2,5000,1509.9295000000002,0.013521380248480574,0.0
round1,2026-08-03 09:09:35.786400,tight,0.3,5000,2258.645,0.009874073839058119,0.0
round1,2026-08-03 09:09:35.786400,tight,0.4,5000,2921.0015000000003,0.05526734794542182,0.0074
round1,2026-08-03 09:09:35.786400,tight,0.5,5000,3676.2875000000004,0.008198333608051726,0.0
round1,2026-08-03 09:09:35.786400,tight,0.6,5000,4460.2485,0.008798299170608571,0.0
round1,2026-08-03 09:09:35.786400,tight,0.7,5000,5309.028,0.006562301415703847,0.0
round1,2026-08-03 09:09:35.786400,tight,0.8,5000,6057.793,0.007758802674047117,0.0002
round1,2026-08-03 09:09:35.786400,tight,0.9,5000,6592.2035,0.00777701475646435,0.0
round1,2026-08-03 09:09:35.786400,tight,0.94,5000,6882.8785,0.006434160637578173,0.0002
round2,2026-08-03 11:07:46.494524,soft,0.1,5000,7065.8655,0.008621720300444738,0.0
round2,2026-08-03 11:07:46.494524,soft,0.2,5000,13967.206,0.004643604123406239,0.0
round2,2026-08-03 11:07:46.494524,soft,0.3,5000,20959.9735,0.004064854866350068,0.0
round2,2026-08-03 11:07:46.494524,soft,0.4,5000,27664.496,0.003727783164633717,0.0
round2,2026-08-03 11:07:46.494524,soft,0.5,5000,34715.834,0.0037166785685699114,0.0
round2,2026-08-03 11:07:46.494524,soft,0.6,5000,42628.1895,0.03542047807518319,0.0034
round2,2026-08-03 11:07:46.494524,soft,0.7,5000,49585.378,0.0029146729509380957,0.0
round2,2026-08-03 11:07:46.494524,soft,0.8,5000,55375.212,0.002918305651754761,0.0
round2,2026-08-03 11:07:46.494524,soft,0.9,5000,62203.591,0.002348361553693816,0.0
round2,2026-08-03 11:07:46.494524,soft,0.94,5000,65104.055,0.0020751700162981402,0.0
round2,2026-08-03 11:07:46.494524,tight,0.1,5000,731.262,0.014316263030272352,0.0
round2,2026-08-03 11:07:46.494524,tight,0.2,5000,1461.712,0.016098151730492356,0.0002
round2,2026-08-03 11:07:46.494524,tight,0.3,5000,2186.796,0.012438096119316752,0.0
round2,2026-08-03 11:07:46.494524,tight,0.4,5000,2793.42,0.009541370013720768,0.0
round2,2026-08-03 11:07:46.494524,tight,0.5,5000,3560.8914999999997,0.008186796330668138,0.0002
round2,2026-08-03 11:07:46.494524,tight,0.6,5000,4419.596,0.05033592083031343,0.007
round2,2026-08-03 11:07:46.494524,tight,0.7,5000,5126.7080000000005,0.006809407412198536,0.0002
round2,2026-08-03 11:07:46.494524,tight,0.8,5000,5858.9295,0.006525335043544291,0.0002
round2,2026-08-03 11:07:46.494524,tight,0.9,5000,6365.776,0.005720737984868292,0.0
round2,2026-08-03 11:07:46.494524,tight,0.94,5000,6649.766,0.005494258994556062,0.0002
round3,2026-08-04 12:19:24.963984,soft,0.1,5000,7282.354,0.008870544611440956,0.0
round3,2026-08-04 12:19:24.963984,soft,0.2,5000,14112.824499999999,0.009748376226466453,0.0
round3,2026-08-04 12:19:24.963984,soft,0.3,5000,21228.318,0.008673817072671139,0.0
round3,2026-08-04 12:19:24.963984,soft,0.4,5000,28182.574,0.007991989342782573,0.0
round3,2026-08-04 12:19:24.963984,soft,0.5,5000,35338.104999999996,0.00770999766516185,0.0
round3,2026-08-04 12:19:24.963984,soft,0.6,5000,42616.551999999996,0.006755104402088142,0.0
round3,2026-08-04 12:19:24.963984,soft,0.7,5000,51053.2375,0.004244048372467705,0.0
