model,scale,confidence,U_safe,note,U_tested_max,margin_needed_at_U_tested_max
model3-w3_phys_cfs_pooled,soft,p99,0.94,safe across full tested range,0.94,0.691
model3-w3_phys_cfs_pooled,soft,p999,0.94,safe across full tested range,0.94,0.697
model3-w3_phys_cfs_pooled,tight,p99,0.94,safe across full tested range,0.94,0.695
model3-w3_phys_cfs_pooled,tight,p999,0.94,safe across full tested range,0.94,0.733
