model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w4_phys_res_round2,soft,0.1,5000,32,0.0064,1427.9,301.7,1,0.9635,1.1985,0.0003,0.5001
model3-w4_phys_res_round2,soft,0.2,5000,7,0.0014,2240.2,800.1,1,0.8364,1.1266,0.0004,0.5001
model3-w4_phys_res_round2,soft,0.3,5000,2,0.0004,2386.0,1271.8,1,0.8304,1.0989,0.0004,0.4959
model3-w4_phys_res_round2,soft,0.4,5000,20,0.004,5833.3,4969.5,1,0.8628,1.1466,0.0005,0.4998
model3-w4_phys_res_round2,soft,0.5,5000,0,0.0,0.0,0.0,0,0.8398,0.9864,0.0006,0.0752
model3-w4_phys_res_round2,soft,0.6,5000,102,0.0204,22211.0,9453.9,91,1.1476,1.3732,0.4974,0.4978
model3-w4_phys_res_round2,soft,0.7,5000,17,0.0034,10008.4,9513.4,1,0.8297,1.1475,0.0011,0.495
model3-w4_phys_res_round2,soft,0.8,5000,17,0.0034,9525.9,6652.4,1,0.8214,1.1221,0.0015,0.4943
model3-w4_phys_res_round2,soft,0.9,5000,13,0.0026,5162.9,1716.1,1,0.8181,1.0594,0.0027,0.4993
model3-w4_phys_res_round2,soft,0.94,5000,17,0.0034,13671.9,9505.9,1,0.8032,1.1506,0.0043,0.4613
model3-w4_phys_res_round2,tight,0.1,5000,3,0.0006,24.9,23.4,1,0.7384,1.0128,0.0014,0.5017
model3-w4_phys_res_round2,tight,0.2,5000,0,0.0,0.0,0.0,0,0.7311,0.9862,0.0137,0.5187
