model,scale,confidence,U_safe,note,U_tested_max,margin_needed_at_U_tested_max
model3-w4_phys_res_round2,soft,p99,0.587,interpolated crossing,0.94,0.755
model3-w4_phys_res_round2,soft,p999,0.1,breaks even at lowest tested U,0.94,1.099
model3-w4_phys_res_round2,tight,p99,0.2,safe across full tested range,0.2,0.163
model3-w4_phys_res_round2,tight,p999,0.2,safe across full tested range,0.2,0.18
