model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3_sib_cfs_round1,soft,0.1,5000,5000,1.0,4709.9,3218.2,5000,1.4115,1.5027,0.4983,0.5015
model3_sib_cfs_round1,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7153,0.804,0.0016,0.002
model3_sib_cfs_round1,soft,0.3,5000,0,0.0,0.0,0.0,0,0.8057,0.9318,0.0019,0.0023
model3_sib_cfs_round1,soft,0.4,5000,0,0.0,0.0,0.0,0,0.7095,0.7493,0.0022,0.0417
model3_sib_cfs_round1,soft,0.5,5000,0,0.0,0.0,0.0,0,0.7245,0.8757,0.0027,0.1089
model3_sib_cfs_round1,soft,0.6,5000,5000,1.0,7609.0,6203.6,5000,1.1166,1.1245,0.505,0.5066
model3_sib_cfs_round1,soft,0.7,5000,5000,1.0,41612.4,6700.4,5000,1.3353,1.595,0.5056,0.6049
model3_sib_cfs_round1,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7527,0.7837,0.0012,0.0015
model3_sib_cfs_round1,soft,0.9,5000,0,0.0,0.0,0.0,0,0.8386,0.8625,0.0014,0.0036
model3_sib_cfs_round1,soft,0.94,5000,1,0.0002,115.2,115.2,1,0.9736,1.0015,0.002,0.4979
model3_sib_cfs_round1,tight,0.1,5000,8,0.0016,4336.3,629.0,1,0.7655,1.3585,0.0014,0.721
model3_sib_cfs_round1,tight,0.2,5000,2,0.0004,9288.4,4656.0,1,0.7538,1.3174,0.0014,1.0409
model3_sib_cfs_round1,tight,0.3,5000,2,0.0004,5166.3,2705.1,1,0.7331,1.3706,0.0018,0.7896
model3_sib_cfs_round1,tight,0.4,5000,5000,1.0,6138.6,415.3,5000,1.2407,1.3926,0.5115,0.9258
model3_sib_cfs_round1,tight,0.5,5000,1,0.0002,10675.6,10675.6,1,0.8061,1.3062,0.0027,1.4145
model3_sib_cfs_round1,tight,0.6,5000,0,0.0,0.0,0.0,0,0.7151,0.9791,0.003,0.0342
model3_sib_cfs_round1,tight,0.7,5000,5000,1.0,4612.0,249.6,5000,1.1095,1.1479,0.5329,1.1452
model3_sib_cfs_round1,tight,0.8,5000,1,0.0002,6996.6,6996.6,1,0.8963,1.057,0.006,2.1352
model3_sib_cfs_round1,tight,0.9,5000,759,0.1518,14109.7,39.5,5,1.0252,1.074,0.5126,7.5239
model3_sib_cfs_round1,tight,0.94,5000,279,0.0558,5086.8,66.1,3,1.0098,1.2256,0.5147,3.0049
